name,korean_name,initial_count,current_count,increase,increase_percent,recommendation_count,comment_count,post_date,post_title,last_accessed,last_updated,url
dongguk_faculty_firing,동국대 교수 해고,96,98,2,2.08,0,0,2025-06-28 10:00:00,,2025-08-05,2025-08-06 04:46:07,https://gall.dcinside.com/board/view/?id=dongguk&no=128401&page=1
ewha_faculty_firing,이화여자대 교수 해고,89,91,2,2.25,0,0,2025-06-28 10:32:11,,2025-08-05,2025-08-06 04:55:14,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41273&page=1
suwon_womens_uni_faculty_firing,수원여자대 교수 해고,111,113,2,1.8,0,1,2025-06-28 10:38:13,,2025-08-05,2025-08-06 05:01:55,https://gall.dcinside.com/mini/board/view/?id=swu&no=32&page=1
r-changwon,창원대,71,73,2,2.82,0,0,2025-07-14 20:51:25,,2025-08-05,2025-08-06 05:05:39,https://gall.dcinside.com/board/view/?id=changwon&no=47239&page=1
r-andong,안동대,88,90,2,2.27,0,0,2025-07-15 21:42:55,,2025-08-05,2025-08-06 05:06:10,https://gall.dcinside.com/mgallery/board/view/?id=anu&no=7409&page=1
r-chosun,조선대,83,85,2,2.41,0,0,2025-07-15 21:45:50,,2025-08-05,2025-08-06 05:06:14,https://gall.dcinside.com/board/view/?id=chosun&no=197304&page=1
r-inha,인하대,136,138,2,1.47,0,0,2025-07-15 21:54:57,,2025-08-05,2025-08-06 05:06:18,https://gall.dcinside.com/board/view/?id=inha&no=1182344&page=1
r-incheon,인천대,85,87,2,2.35,0,0,2025-07-15 21:55:54,,2025-08-05,2025-08-06 05:06:21,https://gall.dcinside.com/board/view/?id=incheon&no=158760&page=1
r-ajou,아주대,70,72,2,2.86,0,0,2025-07-15 21:56:50,,2025-08-05,2025-08-06 05:06:24,https://gall.dcinside.com/board/view/?id=ajou&no=676433&page=1
r-kyonggi,경기대,95,97,2,2.11,0,0,2025-07-15 21:59:58,,2025-08-05,2025-08-06 05:08:42,https://gall.dcinside.com/board/view/?id=kyonggi&no=121471&page=1
konkuk_fraud,건국대 사기,66,68,2,3.03,0,0,2025-07-17 21:14:13,,2025-08-05,2025-08-06 05:13:35,https://gall.dcinside.com/board/view/?id=konkuk&no=205884&page=1
korea_fraud,고려대 사기,67,69,2,2.99,0,0,2025-07-17 21:16:11,,2025-08-05,2025-08-06 05:13:40,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143704&page=1
university_students_fraud,대학생 사기,59,61,2,3.39,0,0,2025-07-17 21:19:56,,2025-08-05,2025-08-06 05:13:57,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=487&page=1
hufs_fraud,한국외국어대 사기,85,87,2,2.35,0,0,2025-07-17 21:20:50,,2025-08-05,2025-08-06 05:14:00,https://gall.dcinside.com/board/view/?id=hufs&no=248789&page=1
hanyang_fraud,한양대 사기,61,63,2,3.28,0,0,2025-07-17 21:25:54,,2025-08-05,2025-08-06 05:14:15,https://gall.dcinside.com/board/view/?id=hanyang&no=202451&page=1
sungyunkwan_fraud,성균관대 사기,99,101,2,2.02,0,0,2025-07-17 21:27:32,,2025-08-05,2025-08-06 05:14:17,https://gall.dcinside.com/board/view/?id=skku&no=309286&page=1
r-changwon_hrw,창원대 HRW,41,43,2,4.88,0,0,2025-07-21 12:25:16,,2025-08-05,2025-08-06 05:14:51,https://gall.dcinside.com/board/view/?id=changwon&no=47385&page=1
sogang_hrw,서강대 HRW,63,65,2,3.17,0,0,2025-07-21 12:42:40,,2025-08-05,2025-08-06 05:16:23,https://gall.dcinside.com/board/view/?id=sogang&no=649736&page=1
feminism_hrw,페미니즘 HRW,28,30,2,7.14,0,0,2025-07-21 12:45:53,,2025-08-05,2025-08-06 05:16:32,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=726&page=1
sungyunkwan_hrw,성균관대 HRW,59,61,2,3.39,0,0,2025-07-21 11:59:03,,2025-08-05,2025-08-06 05:16:39,https://gall.dcinside.com/board/view/?id=skku&no=309293&page=1
dongdae_urgent,동대 긴급,308,309,1,0.32,0,0,2025-05-20 19:27:56,,2025-08-05,2025-08-06 04:35:20,https://gall.dcinside.com/board/view/?id=dongguk&no=128283&page=1
seoul national,서울대,311,312,1,0.32,0,1,2025-05-14 15:37:35,,2025-08-05,2025-08-06 04:35:23,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232135&page=1
korea,고려대,269,270,1,0.37,0,1,2025-05-14 16:33:03,,2025-08-05,2025-08-06 04:35:26,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143463&page=1
chungang,중앙대,313,314,1,0.32,0,1,2025-05-14 16:34:51,,2025-08-05,2025-08-06 04:35:29,https://gall.dcinside.com/board/view/?id=cau&no=372500&page=1
hongik,홍익대,317,318,1,0.32,0,1,2025-05-14 16:50:28,,2025-08-05,2025-08-06 04:35:31,https://gall.dcinside.com/board/view/?id=hongik&no=195828&page=1
hanyang,한양대,303,304,1,0.33,0,1,2025-05-14 16:39:46,,2025-08-05,2025-08-06 04:35:34,https://gall.dcinside.com/board/view/?id=hanyang&no=202335&page=1
yonsei,연세대,230,231,1,0.43,0,1,2025-05-14 23:24:16,,2025-08-05,2025-08-06 04:35:37,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156687&page=1
sungyunkwan,성균관대,316,317,1,0.32,0,1,2025-05-14 23:36:06,,2025-08-05,2025-08-06 04:35:40,https://gall.dcinside.com/board/view/?id=skku&no=309040&page=1
kyunghee,경희대,308,309,1,0.32,0,1,2025-05-14 23:39:18,,2025-08-05,2025-08-06 04:35:43,https://gall.dcinside.com/board/view/?id=khu&no=443988&page=1
sogang,서강대,258,259,1,0.39,0,1,2025-05-14 23:40:26,,2025-08-05,2025-08-06 04:35:44,https://gall.dcinside.com/board/view/?id=sogang&no=648491&page=1
ewha,이화여대,237,238,1,0.42,0,1,2025-05-14 19:05:26,,2025-08-05,2025-08-06 04:35:47,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41186&page=1
seoul municipal,서울시립대,347,348,1,0.29,0,1,2025-05-14 23:46:48,,2025-08-05,2025-08-06 04:35:49,https://gall.dcinside.com/board/view/?id=uos&no=235766&page=1
hufs,한국외대,272,273,1,0.37,0,1,2025-05-14 23:37:38,,2025-08-05,2025-08-06 04:35:51,https://gall.dcinside.com/board/view/?id=hufs&no=248682&page=1
konkuk,건국대,270,271,1,0.37,0,1,2025-05-14 23:43:01,,2025-08-05,2025-08-06 04:38:05,https://gall.dcinside.com/board/view/?id=konkuk&no=205667&page=1
sejong,세종대,363,364,1,0.28,0,1,2025-05-14 23:44:22,,2025-08-05,2025-08-06 04:38:07,https://gall.dcinside.com/board/view/?id=sejong&no=260392&page=1
sungshin womens,성신여대,209,210,1,0.48,0,1,2025-05-14 19:17:59,,2025-08-05,2025-08-06 04:38:11,https://gall.dcinside.com/board/view/?id=sungshin&no=36802&page=1
sookmyung womens,숙명여대,270,271,1,0.37,0,1,2025-05-14 19:21:54,,2025-08-05,2025-08-06 04:38:17,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22530&page=1
seoul women's uni,서울여대,239,240,1,0.42,0,1,2025-05-14 19:16:10,,2025-08-05,2025-08-06 04:42:38,https://gall.dcinside.com/board/view/?id=swu&no=9263&page=1
suwon womens uni,수원여대,262,263,1,0.38,0,1,2025-05-16 21:27:38,,2025-08-05,2025-08-06 04:42:39,https://gall.dcinside.com/mini/board/view/?id=swu&no=30&page=1
university students,대학생,203,204,1,0.49,0,0,2025-05-14 18:24:45,,2025-08-05,2025-08-06 04:42:42,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=458&page=1
dongguk_witnesses,동국대 성폭력 목격자,259,260,1,0.39,0,0,2025-05-25 15:38:26,,2025-08-05,2025-08-06 04:42:46,https://gall.dcinside.com/board/view/?id=dongguk&no=128298&page=1
dongguk_racial,동국대 차별,185,186,1,0.54,0,0,2025-06-05 01:24:15,,2025-08-05,2025-08-06 04:42:54,https://gall.dcinside.com/board/view/?id=dongguk&no=128340&page=1
